state,year,sex,race,deaths,population,crude_rate,age_adjusted_rate,years_pll
California,2022,Females,Black,50,1268877,3.94,3.65,"1,275"
California,2022,Females,Asian,122,3308114,3.69,3.44,"2,498"
California,2022,Females,More than One Race,33,835634,3.95,4.77,937
California,2021,Males,White,"2,678",14022088,19.1,18.28,"49,793"
California,2021,Males,Black,175,1272730,13.75,13.5,"4,799"
California,2021,Males,American Indian / Alaska Native,25,340145,7.35,7.25,664
California,2021,Males,Asian,284,2999790,9.47,9.07,"6,190"
California,2021,Males,HI Native / Pacific Islander,11**,101783,10.81**,10.58**,314
California,2021,Males,More than One Race,84,824022,10.19,11.6,"2,660"
California,2021,Females,White,679,13794394,4.92,4.69,"13,475"
California,2021,Females,Black,44,1273612,3.46,3.47,"1,388"
California,2021,Females,Asian,121,3260953,3.71,3.55,"2,624"
California,2021,Females,More than One Race,35,826157,4.24,4.82,993
California,2020,Males,White,"2,670",14205977,18.8,17.96,"48,459"
California,2020,Males,Black,155,1285186,12.06,11.1,"4,143"
California,2020,Males,American Indian / Alaska Native,15**,340410,4.41**,4.44**,352
California,2020,Males,Asian,282,2998922,9.4,8.84,"5,578"
California,2020,Males,HI Native / Pacific Islander,17**,101884,16.69**,17.12**,365
California,2020,Males,More than One Race,83,820341,10.12,10.99,"2,721"
California,2020,Females,White,699,13955702,5.01,4.75,"13,390"
California,2020,Females,Black,56,1284945,4.36,4.2,"1,550"
California,2020,Females,Asian,118,3257839,3.62,3.37,"2,407"
California,2020,Females,More than One Race,42,822748,5.11,4.92,"1,542"
California,2019,Males,White,"2,926",14162402,20.66,19.66,"52,342"
California,2019,Males,Black,155,1269373,12.21,11.32,"4,148"
California,2019,Males,American Indian / Alaska Native,15**,335943,4.47**,4.50**,458
California,2019,Males,Asian,281,2937247,9.57,9,"5,930"
California,2019,Males,HI Native / Pacific Islander,11**,100780,10.92**,10.62**,329
California,2019,Males,More than One Race,95,802780,11.83,13.35,"2,994"
California,2019,Females,White,754,14071436,5.36,5.02,"13,021"
California,2019,Females,Black,50,1284303,3.89,3.7,"1,251"
California,2019,Females,Asian,110,3234976,3.4,3.16,"2,262"
California,2019,Females,More than One Race,26,811011,3.21,3.53,807
California,2018,Males,White,"2,913",14218905,20.49,19.6,"50,775"
California,2018,Males,Black,143,1267041,11.29,10.71,"3,718"
California,2018,Males,American Indian / Alaska Native,24,333601,7.19,7.46,560
California,2018,Males,Asian,287,2898663,9.9,9.36,"5,835"
California,2018,Males,HI Native / Pacific Islander,13**,99972,13.00**,11.80**,369
California,2018,Males,More than One Race,106,789640,13.42,16.73,"3,107"
California,2018,Females,White,813,14125907,5.76,5.46,"15,135"
California,2018,Females,Black,42,1284668,3.27,3.04,"1,022"
California,2018,Females,Asian,115,3196437,3.6,3.37,"2,487"
California,2018,Females,More than One Race,27,798539,3.38,3.77,878
Colorado,2023,Males,White,905,2558184,35.38,32.96,"18,295"
Colorado,2023,Males,Black,43,151433,28.4,25.69,"1,367"
Colorado,2023,Males,American Indian / Alaska Native,15**,50352,29.79**,32.62**,403
Colorado,2023,Males,Asian,14**,105977,13.21**,11.74**,410
Colorado,2023,Males,More than One Race,16**,103363,15.48**,19.34**,456
Colorado,2023,Females,White,264,2493801,10.59,10.04,"5,254"
Colorado,2023,Females,Black,13**,131275,9.90**,9.53**,345
Colorado,2023,Females,Asian,11**,119478,9.21**,9.94**,392
Colorado,2022,Males,White,936,2550214,36.7,34.7,"18,892"
Colorado,2022,Males,Black,32,148301,21.58,21.1,997
Colorado,2022,Males,Asian,12**,102384,11.72**,11.82**,371
Colorado,2022,Males,More than One Race,11**,100496,10.95**,14.39**,300
Colorado,2022,Females,White,263,2485644,10.58,10.04,"5,456"
Colorado,2022,Females,Black,10**,128410,7.79**,7.65**,362
Colorado,2022,Females,Asian,10**,115824,8.63**,8.82**,215
Colorado,2021,Males,White,997,2545331,39.17,37.3,"20,600"
Colorado,2021,Males,Black,45,145558,30.92,29.04,"1,337"
Colorado,2021,Males,Asian,14**,99110,14.13**,13.37**,433
Colorado,2021,Males,More than One Race,15**,97754,15.35**,25.91**,456
Colorado,2021,Females,White,271,2479267,10.93,10.38,"5,703"
Colorado,2021,Females,Black,12**,126444,9.49**,9.80**,327
Colorado,2021,Females,Asian,12**,112643,10.65**,10.66**,259
Colorado,2021,Females,HI Native / Pacific Islander,0**,6240,0.00**,0.00**,
Colorado,2020,Males,White,947,2540765,37.27,35.64,"20,252"
Colorado,2020,Males,Black,33,143316,23.03,20.18,958
Colorado,2020,Males,American Indian / Alaska Native,12**,48414,24.79**,23.35**,390
Colorado,2020,Males,Asian,15**,96482,15.55**,15.69**,533
Colorado,2020,Males,More than One Race,18**,94779,18.99**,20.12**,611
Colorado,2020,Females,White,248,2473713,10.03,9.72,"5,481"
Colorado,2020,Females,Black,11**,124440,8.84**,8.60**,338
Colorado,2019,Males,White,930,2519997,36.91,35.46,"20,421"
Colorado,2019,Males,Black,34,141133,24.09,22.03,"1,112"
Colorado,2019,Males,American Indian / Alaska Native,13**,48292,26.92**,29.46**,348
Colorado,2019,Males,Asian,12**,93729,12.80**,15.01**,253
Colorado,2019,Males,More than One Race,12**,91637,13.10**,13.22**,437
Colorado,2019,Females,White,287,2480948,11.57,11.08,"6,010"
Colorado,2019,Females,HI Native / Pacific Islander,0**,5821,0.00**,0.00**,
Colorado,2018,Males,White,905,2495321,36.27,34.82,"19,378"
Colorado,2018,Males,Black,30,138592,21.65,19.1,868
Colorado,2018,Males,American Indian / Alaska Native,14**,47384,29.55**,27.98**,392
Colorado,2018,Males,Asian,15**,91876,16.33**,17.32**,397
Colorado,2018,Males,More than One Race,17**,89124,19.08**,20.75**,623
Colorado,2018,Females,White,284,2459722,11.55,11.23,"6,336"
Colorado,2018,Females,HI Native / Pacific Islander,0**,5562,0.00**,0.00**,
Connecticut,2023,Males,White,259,1388654,18.65,17,"4,214"
Connecticut,2023,Males,Black,21,227231,9.24,8.82,554
Connecticut,2023,Males,American Indian / Alaska Native,0**,14660,0.00**,0.00**,
Connecticut,2023,Males,HI Native / Pacific Islander,0**,2260,0.00**,0.00**,
Connecticut,2023,Females,White,63,1433192,4.4,3.91,994
Connecticut,2023,Females,American Indian / Alaska Native,0**,13509,0.00**,0.00**,
Connecticut,2023,Females,HI Native / Pacific Islander,0**,2070,0.00**,0.00**,
Connecticut,2023,Females,More than One Race,0**,51564,0.00**,0.00**,
Connecticut,2022,Males,White,259,1392194,18.6,17.35,"4,175"
Connecticut,2022,Males,Black,30,223010,13.45,13.4,790
Connecticut,2022,Males,American Indian / Alaska Native,0**,13796,0.00**,0.00**,
Connecticut,2022,Males,Asian,10**,90245,11.08**,10.43**,209
Connecticut,2022,Males,HI Native / Pacific Islander,0**,2213,0.00**,0.00**,
Connecticut,2022,Females,White,79,1436322,5.5,5.44,"1,536"
Connecticut,2022,Females,HI Native / Pacific Islander,0**,2038,0.00**,0.00**,
Connecticut,2021,Males,White,261,1398449,18.66,16.59,"4,347"
Connecticut,2021,Males,Black,22,218133,10.09,9.85,678
Connecticut,2021,Males,American Indian / Alaska Native,0**,12829,0.00**,0.00**,
Connecticut,2021,Males,HI Native / Pacific Islander,0**,2162,0.00**,0.00**,
Connecticut,2021,Males,More than One Race,0**,47138,0.00**,0.00**,
Connecticut,2021,Females,White,101,1441999,7,5.87,"1,483"
Connecticut,2021,Females,American Indian / Alaska Native,0**,12002,0.00**,0.00**,
Connecticut,2021,Females,HI Native / Pacific Islander,0**,1961,0.00**,0.00**,
Connecticut,2021,Females,More than One Race,0**,48606,0.00**,0.00**,
Connecticut,2020,Males,White,255,1395066,18.28,16.48,"4,004"
Connecticut,2020,Males,Black,21,213804,9.82,10.74,505
Connecticut,2020,Males,American Indian / Alaska Native,0**,12108,0.00**,0.00**,
Connecticut,2020,Males,HI Native / Pacific Islander,0**,2149,0.00**,0.00**,
Connecticut,2020,Females,White,76,1436336,5.29,4.65,"1,104"
Connecticut,2020,Females,American Indian / Alaska Native,0**,11174,0.00**,0.00**,
Connecticut,2020,Females,HI Native / Pacific Islander,0**,1933,0.00**,0.00**,
Connecticut,2020,Females,More than One Race,0**,46947,0.00**,0.00**,
Connecticut,2019,Males,White,294,1386800,21.2,19.31,"5,033"
Connecticut,2019,Males,Black,29,208821,13.89,13.52,820
Connecticut,2019,Males,American Indian / Alaska Native,0**,11555,0.00**,0.00**,
Connecticut,2019,Males,HI Native / Pacific Islander,0**,2108,0.00**,0.00**,
Connecticut,2019,Females,White,94,1448663,6.49,5.98,"1,581"
Connecticut,2019,Females,American Indian / Alaska Native,0**,10758,0.00**,0.00**,
Connecticut,2019,Females,HI Native / Pacific Islander,0**,1859,0.00**,0.00**,
Connecticut,2018,Males,White,293,1396807,20.98,18.61,"4,559"
Connecticut,2018,Males,Black,15**,205542,7.30**,7.57**,355
Connecticut,2018,Males,American Indian / Alaska Native,0**,11171,0.00**,0.00**,
Connecticut,2018,Males,HI Native / Pacific Islander,0**,2066,0.00**,0.00**,
Connecticut,2018,Females,White,93,1458758,6.38,5.36,"1,331"
Connecticut,2018,Females,Black,11**,225699,4.87**,4.84**,347
Connecticut,2018,Females,American Indian / Alaska Native,0**,10479,0.00**,0.00**,
Connecticut,2018,Females,HI Native / Pacific Islander,0**,1828,0.00**,0.00**,
Connecticut,2018,Females,More than One Race,0**,44655,0.00**,0.00**,
Delaware,2023,Males,White,96,339841,28.25,25.68,"1,651"
Delaware,2023,Males,Black,17**,116841,14.55**,13.11**,373
Delaware,2023,Males,Asian,0**,22382,0.00**,0.00**,
Delaware,2023,Males,HI Native / Pacific Islander,0**,606,0.00**,0.00**,
Delaware,2023,Females,White,23,357253,6.44,5.91,347
